NOM COMPLET,CODE FVF,INDIC_ZH
Delphinium elatum L. subsp. elatum.,133765,Oui
Deschampsia cespitosa (L.) P. Beauv.,94626,Oui
Deschampsia media (Gouan) Roem. & Schult.,94633,Oui
Deschampsia setacea (Huds.) Hack.,94638,Oui
Dipsacus pilosus L.,95154,Oui
Doronicum austriacum Jacq.,95209,Oui
Dorycnium rectum (L.) Ser.,95281,Oui
Drosera intermedia Hayne.,95438,Oui
Drosera longifolia L.,95439,Oui
Drosera rotundifolia L.,95442,Oui
Dryopteris aemula (Aiton) Kuntze.,95546,Oui
Dryopteris carthusiana (Vill.) H. P. Fuchs.,95558,Oui
Dryopteris cristata (L.) A. Gray.,95561,Oui
Dryopteris dilatata (Hoffm.) A. Gray.,95563,Oui
Elatine brochonii Clavaud.,95848,Oui
Elatine hexandra (Lapierre) DC.,95858,Oui
Elatine hydropiper L.,95860,Oui
Elatine macropoda Guss.,95864,Oui
Elatine triandra Schkuhr.,95877,Oui
Eleocharis acicularis (L.) Roem. & Schult.,95889,Oui
Eleocharis atropurpurea (Retz.) C. Presl.,95891,Oui
Eleocharis austriaca Hayek.,95892,Oui
Eleocharis bonariensis Nees.,95895,Oui
Eleocharis mamillata H. Lindb.,95914,Oui
Eleocharis multicaulis (Sm.) Desv.,95916,Oui
Eleocharis ovata (Roth) Roem. & Schult.,95919,Oui
Eleocharis palustris (L.) Roem. & Schult.,95922,Oui
"Eleocharis parvula (Roem. & Schult.) Link ex-Bluff, Nees & Schauer.",95923,Oui
Eleocharis quinqueflora (Hartmann) O. Schwarz.,95927,Oui
Eleocharis uniglumis (Link) Schult.,95933,Oui
Eleogiton fluitans (L.) Link.,95948,Oui
Elytrigia atherica (Link) Kerguélen ex-Carreras.,96027,Oui
Elytrigia elongata (Host) Nevski.,96032,Oui
Endressia pyrenaica (J. Gay ex-DC.) J. Gay.,96079,Oui
Epilobium alsinifolium Vill.,96130,Oui
Epilobium anagallidifolium Lam.,96134,Oui
Epilobium hirsutum L.,96180,Oui
Epilobium nutans F. W. Schmidt.,96218,Oui
Epilobium obscurum Schreb.,96220,Oui
Epilobium palustre L.,96226,Oui
Epilobium parviflorum Schreb.,96229,Oui
Epilobium tetragonum L. subsp. tetragonum.,134131,Oui
Epipactis palustris (L.) Crantz.,96465,Oui
Equisetum fluviatile L.,96519,Oui
Equisetum hyemale L.,96523,Oui
Equisetum palustre L.,96534,Oui
Equisetum sylvaticum L.,96545,Oui
Equisetum telmateia Ehrh.,96546,Oui
Equisetum variegatum Schleich.,96553,Oui
Erianthus ravennae (L.) P. Beauv.,96656,Oui
Erica terminalis Salisb.,96694,Oui
Erica tetralix L.,96695,Oui
Eriophorum gracile Koch ex-Roth.,96851,Oui
Eriophorum latifolium Hoppe.,96852,Oui
Eriophorum polystachion L.,96856,Oui
Eriophorum scheuchzeri Hoppe.,96859,Oui
Eriophorum vaginatum L.,96861,Oui
Eryngium pusillum L.,97147,Oui
Eryngium viviparum J. Gay.,97152,Oui
Eupatorium cannabinum L.,97434,Oui
Euphorbia palustris L.,97601,Oui
Exaculum pusillum (Lam.) Caruel.,97904,Oui
Festuca gigantea (L.) Vill.,98250,Oui
Festuca rivularis Boiss.,98506,Oui
Festuca rubra L. subsp. litoralis (G.Mey.) Auquier.,134622,Oui
Festuca trichophylla (Ducros ex-Gaudin) K. Richt.,98586,Oui
Filipendula ulmaria (L.) Maxim.,98717,Oui
Fimbristylis annua (All.) Roem. & Schult.,98722,Oui
Fimbristylis bisumbellata (Forssk.) Bubani.,98723,Oui
Frangula dodonei Ard.,98888,Oui
Frankenia pulverulenta L.,98903,Oui
Fraxinus angustifolia Vahl.,98910,Oui
Fritillaria meleagris L.,98977,Oui
Fuirena pubescens (Poir.) Kunth.,99011,Oui
Galium debile Desv.,99410,Oui
Galium palustre L.,99494,Oui
Galium uliginosum L.,99570,Oui
Gentiana asclepiadea L.,99862,Oui
Gentiana pneumonanthe L.,99922,Oui
Gentiana pyrenaica L.,99931,Oui
Gentiana rostanii Reut. ex-Verl.,99936,Oui
Gentianella uliginosa (Willd.) Borner.,99991,Oui
Geranium palustre L.,100114,Oui
Geum rivale L.,100215,Oui
Gladiolus palustris Gaudin.,100278,Oui
Glaux maritima L.,100303,Oui
Glyceria declinata Bréb.,100382,Oui
Glyceria fluitans (L.) R. Br.,100387,Oui
Glyceria maxima (Hartm.) Holmb.,100394,Oui
Glyceria notata Chevall.,100398,Oui
Glyceria striata (Lam.) Hitchc.,159690,Oui
Gnaphalium uliginosum L.,100519,Oui
Gratiola officinalis L.,100576,Oui
Halimione pedunculata (L.) Aellen.,100718,Oui
Halimione portulacoides (L.) Aellen.,100719,Oui
Hammarbya paludosa (L.) Kuntze.,100739,Oui
Heliotropium supinum L.,101155,Oui
Helosciadium crassipes W. D. J. Koch.,101217,Oui
